"consensus_lin","EdgeBetweenness","eweight","interaction","name","selected","shared interaction","shared name"
"Proteobacteria_bacterium_CAG_139","82.37424242424244","0.400539228","interacts with","Proteobacteria_bacterium_CAG_139 (interacts with) Oscillibacter_sp_1_3","false","interacts with","Proteobacteria_bacterium_CAG_139 (interacts with) Oscillibacter_sp_1_3"
"Proteobacteria_bacterium_CAG_139","29.442857142857143","0.572858732","interacts with","Proteobacteria_bacterium_CAG_139 (interacts with) Helicobacter_apodemus","false","interacts with","Proteobacteria_bacterium_CAG_139 (interacts with) Helicobacter_apodemus"
"Proteobacteria_bacterium_CAG_139","88.4969696969697","0.55461624","interacts with","Proteobacteria_bacterium_CAG_139 (interacts with) Faecalibaculum_rodentium","false","interacts with","Proteobacteria_bacterium_CAG_139 (interacts with) Faecalibaculum_rodentium"
"Proteobacteria_bacterium_CAG_139","71.87392411510058","-0.520407058","interacts with","Proteobacteria_bacterium_CAG_139 (interacts with) Dorea_sp_5_2","false","interacts with","Proteobacteria_bacterium_CAG_139 (interacts with) Dorea_sp_5_2"
"Proteobacteria_bacterium_CAG_139","75.31875901875901","0.405138165","interacts with","Proteobacteria_bacterium_CAG_139 (interacts with) Bacteroides_massiliensis","false","interacts with","Proteobacteria_bacterium_CAG_139 (interacts with) Bacteroides_massiliensis"
"Bacteroides_stercorirosoris","44.95948773448773","0.445703378","interacts with","Bacteroides_stercorirosoris (interacts with) Enterorhabdus_caecimuris","false","interacts with","Bacteroides_stercorirosoris (interacts with) Enterorhabdus_caecimuris"
"Bacteroides_stercorirosoris","44.60043290043291","-0.405737917","interacts with","Bacteroides_stercorirosoris (interacts with) Bacteroides_massiliensis","false","interacts with","Bacteroides_stercorirosoris (interacts with) Bacteroides_massiliensis"
"Bacteroides_sartorii","12.845526695526697","0.873434856","interacts with","Bacteroides_sartorii (interacts with) Bacteroides_faecichinchillae","false","interacts with","Bacteroides_sartorii (interacts with) Bacteroides_faecichinchillae"
"Bacteroides_massiliensis","37.26370851370852","0.468377836","interacts with","Bacteroides_massiliensis (interacts with) Bacteroides_faecichinchillae","false","interacts with","Bacteroides_massiliensis (interacts with) Bacteroides_faecichinchillae"
"Bacteroides_uniformis","25.370779220779223","0.501607214","interacts with","Bacteroides_uniformis (interacts with) Bacteroides_sartorii","false","interacts with","Bacteroides_uniformis (interacts with) Bacteroides_sartorii"
