row	col	val1
Dorea_sp_5_2	Corynebacterium_mastitidis	NA
Clostridium_symbiosum	Corynebacterium_mastitidis	NA
Eubacterium_rectale	Corynebacterium_mastitidis	NA
Lachnospiraceae_bacterium_10_1	Corynebacterium_mastitidis	NA
Lachnospiraceae_bacterium_28_4	Corynebacterium_mastitidis	NA
Lachnospiraceae_bacterium_3_1	Corynebacterium_mastitidis	NA
Lachnospiraceae_bacterium_3_2	Corynebacterium_mastitidis	NA
Lachnospiraceae_bacterium_A2	Corynebacterium_mastitidis	NA
Lachnospiraceae_bacterium_A4	Corynebacterium_mastitidis	NA
Lachnospiraceae_bacterium_COE1	Corynebacterium_mastitidis	NA
Lachnospiraceae_bacterium_M18_1	Corynebacterium_mastitidis	NA
Oscillibacter_sp_1_3	Corynebacterium_mastitidis	NA
Romboutsia_ilealis	Corynebacterium_mastitidis	NA
Acutalibacter_muris	Corynebacterium_mastitidis	NA
Anaerotruncus_sp_G3_2012	Corynebacterium_mastitidis	NA
Ruthenibacterium_lactatiformans	Corynebacterium_mastitidis	NA
Clostridium_cocleatum	Corynebacterium_mastitidis	NA
Clostridium_innocuum	Corynebacterium_mastitidis	NA
Faecalibaculum_rodentium	Corynebacterium_mastitidis	NA
Ileibacterium_valens	Corynebacterium_mastitidis	NA
Firmicutes_bacterium_ASF500	Corynebacterium_mastitidis	NA
Parasutterella_excrementihominis	Corynebacterium_mastitidis	NA
Turicimonas_muris	Corynebacterium_mastitidis	NA
Desulfovibrionaceae_bacterium	Corynebacterium_mastitidis	NA
Helicobacter_apodemus	Corynebacterium_mastitidis	NA
Helicobacter_cinaedi	Corynebacterium_mastitidis	NA
Helicobacter_ganmani	Corynebacterium_mastitidis	NA
Helicobacter_hepaticus	Corynebacterium_mastitidis	NA
Helicobacter_magdeburgensis	Corynebacterium_mastitidis	NA
Helicobacter_typhlonius	Corynebacterium_mastitidis	NA
Enterobacter_cloacae_complex	Corynebacterium_mastitidis	NA
Escherichia_coli	Corynebacterium_mastitidis	NA
Proteus_hauseri	Corynebacterium_mastitidis	NA
Proteus_mirabilis	Corynebacterium_mastitidis	NA
Acinetobacter_baumannii	Corynebacterium_mastitidis	NA
Proteobacteria_bacterium_CAG_139	Corynebacterium_mastitidis	NA
Akkermansia_muciniphila	Corynebacterium_mastitidis	NA
Adlercreutzia_equolifaciens	Corynebacterium_stationis	NA
Asaccharobacter_celatus	Corynebacterium_stationis	NA
Enterorhabdus_caecimuris	Corynebacterium_stationis	NA
Bacteroides_caecimuris	Corynebacterium_stationis	NA
Bacteroides_dorei	Corynebacterium_stationis	NA
Bacteroides_faecichinchillae	Corynebacterium_stationis	NA
Bacteroides_intestinalis	Corynebacterium_stationis	NA
Bacteroides_massiliensis	Corynebacterium_stationis	NA
Bacteroides_ovatus	Corynebacterium_stationis	NA
Bacteroides_sartorii	Corynebacterium_stationis	NA
Bacteroides_stercorirosoris	Corynebacterium_stationis	NA
